Date,Time,Card Nr.,Vehicle Nr.,Product,Amount,Total sum,Currency,Country,Country ISO,Fuel station
15.01.2026,08:30:00,4532789012345678,NJ-2702,Diesel,"45,50","72,80",EUR,Latvia,LV,"Circle K, Riga Main St 15"
15.01.2026,08:32:00,4532789012345678,NJ-2702,Coffee,"1,00","2,90",EUR,Latvia,LV,"Circle K, Riga Main St 15"
15.01.2026,14:22:15,4532789012345678,NJ-2702,AdBlue,"5,00","12,50",EUR,Latvia,LV,"Circle K, Riga Main St 15"
16.01.2026,09:15:30,9876543210987654,OC-4485,CNG,"28,30","35,40",EUR,Latvia,LV,"Virši, Daugavpils 42"
16.01.2026,11:00:00,1234567890123456,RG-1234,Diesel,"40,00","64,00",EUR,Latvia,LV,"Circle K, Riga East"
17.01.2026,11:45:00,4532789012345678,NJ-2702,Diesel,"52,20","83,52",EUR,Latvia,LV,"Neste, Jelgava Highway"
17.01.2026,11:47:00,4532789012345678,NJ-2702,Hot Dog,"1,00","3,50",EUR,Latvia,LV,"Neste, Jelgava Highway"
18.01.2026,07:00:45,9876543210987654,OC-4485,CNG,"31,00","38,75",EUR,Latvia,LV,"Virši, Riga Center"
18.01.2026,16:30:00,4532789012345678,NJ-2702,Diesel,"48,75","78,00",EUR,Latvia,LV,"Circle K, Jurmala Beach Rd"
18.01.2026,16:32:00,4532789012345678,NJ-2702,Car Wash,"1,00","8,00",EUR,Latvia,LV,"Circle K, Jurmala Beach Rd"
19.01.2026,08:45:00,1234567890123456,RG-1234,Diesel,"35,50","56,80",EUR,Latvia,LV,"Neste, Riga South"
19.01.2026,10:20:00,9876543210987654,OC-4485,CNG,"25,50","31,88",EUR,Latvia,LV,"Latvijas Gāze, Sigulda"
19.01.2026,13:55:20,9876543210987654,OC-4485,Shop Item,"1,00","4,20",EUR,Latvia,LV,"Virši, Riga Center"
20.01.2026,08:00:00,4532789012345678,NJ-2702,Diesel,"55,00","88,00",EUR,Latvia,LV,"Neste, Riga Airport"
20.01.2026,15:40:30,4532789012345678,NJ-2702,Parking,"1,00","5,00",EUR,Latvia,LV,"Neste, Riga Airport"
21.01.2026,09:30:00,9876543210987654,OC-4485,CNG,"29,80","37,25",EUR,Latvia,LV,"Virši, Liepaja Port"
21.01.2026,12:15:45,4532789012345678,NJ-2702,Diesel,"42,30","67,68",EUR,Latvia,LV,"Circle K, Ventspils"
22.01.2026,07:45:00,9876543210987654,OC-4485,CNG,"33,20","41,50",EUR,Latvia,LV,"Latvijas Gāze, Cesis"
22.01.2026,14:00:00,4532789012345678,NJ-2702,Super 98,"38,00","72,20",EUR,Latvia,LV,"Neste, Riga Old Town"
